City,Latitude,Longitude,Date,Avg Temp (C),Wind Speed,Precipitation Probability
Омск,54.991,73.371,2024-12-23T07:00:00+06:00,-12.2,4.6,100
Омск,54.991,73.371,2024-12-24T07:00:00+06:00,-7.5,6.9,1
Омск,54.991,73.371,2024-12-25T07:00:00+06:00,-7.8,8.1,1
Омск,54.991,73.371,2024-12-26T07:00:00+06:00,-9.4,8.1,1
Омск,54.991,73.371,2024-12-27T07:00:00+06:00,-8.3,10.4,60
Москва,55.752,37.619,2024-12-23T07:00:00+03:00,-0.6,5.8,65
Москва,55.752,37.619,2024-12-24T07:00:00+03:00,-0.3,5.8,25
Москва,55.752,37.619,2024-12-25T07:00:00+03:00,-1.9,8.1,25
Москва,55.752,37.619,2024-12-26T07:00:00+03:00,-2.2,10.4,25
Москва,55.752,37.619,2024-12-27T07:00:00+03:00,-0.8,4.6,1
Севастополь,44.605,33.522,2024-12-23T07:00:00+03:00,5.3,8.1,49
Севастополь,44.605,33.522,2024-12-24T07:00:00+03:00,10.6,6.9,1
Севастополь,44.605,33.522,2024-12-25T07:00:00+03:00,8.3,6.9,17
Севастополь,44.605,33.522,2024-12-26T07:00:00+03:00,5.0,15.0,67
Севастополь,44.605,33.522,2024-12-27T07:00:00+03:00,4.4,9.2,25
